Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
B1AK53,ESPN,Espin,4,11.59354,11.582515,0.0110250000000001,1.00767122187087,Up,0.952509319175967,0.97598978146263
O15078,CEP290,Centrosomal protein of 290 kDa,2,11.300905,11.31165,-0.010745,0.992579800173855,Down,0.953017456492939,0.976304257919691
Q9NXX6,NSMCE4A,Non-structural maintenance of chromosomes element 4 homolog A,7,13.94795,13.95284,-0.00489,0.99661624812271,Down,0.953111676819162,0.976304257919691
Q8IV63,VRK3,Serine/threonine-protein kinase VRK3,6,13.860635,13.870145,-0.00951,0.993429848762482,Down,0.95365576127793,0.976710200881116
Q9H0U3,MAGT1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1,9,14.60038,14.59766,0.00271999999999828,1.00188713874038,Up,0.953998058909665,0.976862973612278
Q03181,PPARD,Peroxisome proliferator-activated receptor delta,3,11.665815,11.68017,-0.014355,0.990099210966585,Down,0.954100543904865,0.976862973612278
Q7LGA3,HS2ST1,Heparan sulfate 2-O-sulfotransferase 1,7,14.60856,14.590635,0.0179250000000017,1.01250217000547,Up,0.954362406816593,0.976979731513454
Q96PU4,UHRF2,E3 ubiquitin-protein ligase UHRF2,11,12.925585,12.92024,0.00534500000000193,1.00371174320059,Up,0.95456539996796,0.97703619767512
P62910,RPL32,Large ribosomal subunit protein eL32,5,16.150445,16.15481,-0.004365,0.996978985033905,Down,0.955187964245336,0.977265868746643
Q9Y281,CFL2,Cofilin-2,6,14.808635,14.805085,0.00355000000000061,1.00246370243026,Up,0.955203747883904,0.977265868746643
Q9BRD0,BUD13,BUD13 homolog,15,13.710875,13.70788,0.0029950000000003,1.00207813213545,Up,0.955234733311784,0.977265868746643
Q6IA86,ELP2,Elongator complex protein 2,5,12.408285,12.429865,-0.02158,0.985153200741469,Down,0.955381264634901,0.977265868746643
A2RRP1,NBAS,NBAS subunit of NRZ tethering complex,5,12.211235,12.24698,-0.035745,0.975527873310794,Down,0.956051399652252,0.977800015521779
P62875,POLR2L,"DNA-directed RNA polymerases I, II, and III subunit RPABC5",1,14.07882,14.085935,-0.007115,0.995080398883748,Down,0.957103511913898,0.978501685758015
Q7Z4L5,TTC21B,Tetratricopeptide repeat protein 21B,9,12.236735,12.2526,-0.015865,0.989063463535223,Down,0.957109583780107,0.978501685758015
O60306,AQR,RNA helicase aquarius,54,15.65994,15.660445,-0.000505,0.999650021930434,Down,0.957427616176632,0.978501685758015
Q9NVR0,KLHL11,Kelch-like protein 11,8,12.22694,12.213085,0.0138549999999995,1.0096498162881,Up,0.957782217174192,0.978501685758015
O95168,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,3,12.65898,12.66104,-0.00206,0.998573135748218,Down,0.957783077333916,0.978501685758015
P37198,NUP62,Nuclear pore glycoprotein p62,6,15.685525,15.689075,-0.00355,0.997542352481902,Down,0.957831984952135,0.978501685758015
Q9BY44,EIF2A,Eukaryotic translation initiation factor 2A,22,16.7201,16.71486,0.00524000000000058,1.00363869526254,Up,0.958023299393868,0.978501685758015
Q9Y4W2,LAS1L,Ribosomal biogenesis protein LAS1L,28,16.026345,16.03111,-0.004765,0.996702602081468,Down,0.958026399917708,0.978501685758015
Q6ZN06,ZNF813,Zinc finger protein 813,3,11.302325,11.28922,0.0131049999999995,1.0091250757532,Up,0.958069966491166,0.978501685758015
Q8ND24,RNF214,RING finger protein 214,1,10.0562315,10.0085335,0.0476980000000005,1.0336143466455,Up,0.958331290847149,0.978617351855501
Q9Y6I9,TEX264,Testis-expressed protein 264,1,12.400075,12.43458,-0.034505,0.976366702396734,Down,0.958756222905783,0.978900027372829
Q6P3R8,NEK5,Serine/threonine-protein kinase Nek5,1,11.419675,11.44278,-0.023105,0.984112395280443,Down,0.959131291591283,0.979131712407598
P26440,IVD,"Isovaleryl-CoA dehydrogenase, mitochondrial",7,12.03047,12.01976,0.0107099999999978,1.00745122958154,Up,0.959901079122634,0.979766213424168
A8MXV4,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,3,11.375115,11.398035,-0.02292,0.984238598297364,Down,0.960301044020867,0.980023100669227
Q8NAF0,ZNF579,Zinc finger protein 579,10,14.233205,14.22937,0.00383500000000048,1.00266175563537,Up,0.961075442747865,0.980660445154826
O43752,STX6,Syntaxin-6,3,11.9156,11.925985,-0.010385,0.992827512479155,Down,0.961222327691475,0.980660445154826
Q5BKY9,FAM133B,Protein FAM133B,1,13.25816,13.29566,-0.0375,0.974341891201707,Down,0.961642818637056,0.980938013331116
Q6ZN18,AEBP2,Zinc finger protein AEBP2,6,12.35601,12.36495,-0.00894,0.993822424375779,Down,0.961975705313497,0.980942919564453
O00151,PDLIM1,PDZ and LIM domain protein 1,11,14.289405,14.287245,0.00215999999999816,1.00149831927036,Up,0.962010322014473,0.980942919564453
Q9Y5W7,SNX14,Sorting nexin-14,2,10.259082,10.2209655,0.0381164999999992,1.02677245593882,Up,0.962150163776225,0.980942919564453
Q8IX04,UEVLD,Ubiquitin-conjugating enzyme E2 variant 3,1,10.69576,10.73443,-0.03867,0.973552037591905,Down,0.962241329631767,0.980942919564453
O15056,SYNJ2,Synaptojanin-2,5,11.72681,11.73036,-0.00355,0.997542352481902,Down,0.962414040641269,0.980967673442034
Q14191,WRN,Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN,26,13.393055,13.39845,-0.005395,0.996267454292094,Down,0.962884752841067,0.981180494987398
Q14011,CIRBP,Cold-inducible RNA-binding protein,3,14.559305,14.572825,-0.01352,0.99067242437013,Down,0.962920412793169,0.981180494987398
Q9H8H3,TMT1A,Thiol S-methyltransferase TMT1A,3,11.016855,11.04835,-0.031495,0.978405894053392,Down,0.963068220757036,0.981180494987398
Q52LJ0,FAM98B,Protein FAM98B,12,15.73205,15.73523,-0.00318,0.997798219448463,Down,0.963336293716248,0.981199063118553
P49720,PSMB3,Proteasome subunit beta type-3,6,14.397465,14.394435,0.00302999999999898,1.00210244299746,Up,0.963383374273913,0.981199063118553
Q8TEP8,CEP192,Centrosomal protein of 192 kDa,4,10.0991885,10.11327,-0.0140815,0.990286927563619,Down,0.963749864712115,0.981387989645603
P01130,LDLR,Low-density lipoprotein receptor,2,10.79442,10.818735,-0.024315,0.983287358285513,Down,0.963865855770859,0.981387989645603
Q9Y508,RNF114,E3 ubiquitin-protein ligase RNF114,4,12.22628,12.229675,-0.003395,0.997649532008077,Down,0.964171622778144,0.98154809841971
P48378,RFX2,DNA-binding protein RFX2,8,12.745575,12.73824,0.00733499999999765,1.00509718122196,Up,0.964659295762478,0.981877745217369
Q9BV38,WDR18,WD repeat-containing protein 18,15,16.354685,16.352235,0.00244999999999962,1.00169965336858,Up,0.964792567323588,0.981877745217369
Q8N302,AGGF1,Angiogenic factor with G patch and FHA domains 1,1,12.636895,12.60165,0.0352449999999997,1.02473082913227,Up,0.965255908997163,0.982198045044226
Q5TEU4,NDUFAF5,"Arginine-hydroxylase NDUFAF5, mitochondrial",1,11.50663,11.473585,0.0330449999999995,1.02316938355051,Up,0.965638204623562,0.982349418558759
Q5JU69,TOR2A,Torsin-2A,2,9.8575925,9.876252,-0.0186595,0.987149502077954,Down,0.965701947704079,0.982349418558759
O43896,KIF1C,Kinesin-like protein KIF1C,9,12.47503,12.46079,0.0142400000000009,1.00991928907304,Up,0.966001601416497,0.982503013813732
Q9H000,MKRN2,E3 ubiquitin-protein ligase makorin-2,9,12.53837,12.535395,0.00297500000000106,1.00206424047911,Up,0.96674969330461,0.982989109312241
Q9UMX0,UBQLN1,Ubiquilin-1,6,12.70066,12.690225,0.0104349999999993,1.00725921208856,Up,0.96704933203211,0.982989109312241
Q86WX3,RPS19BP1,Active regulator of SIRT1,3,13.330785,13.32831,0.00247500000000045,1.00171701165124,Up,0.967095094691171,0.982989109312241
P84103,SRSF3,Serine/arginine-rich splicing factor 3,6,19.215745,19.20471,0.0110349999999997,1.00767820653974,Up,0.967222314061627,0.982989109312241
P15927,RPA2,Replication protein A 32 kDa subunit,5,14.98698,14.989365,-0.002385,0.998348209684106,Down,0.967271930667969,0.982989109312241
Q96HC4,PDLIM5,PDZ and LIM domain protein 5,13,13.86635,13.86381,0.00253999999999976,1.0017621445939,Up,0.967509955315642,0.982989109312241
Q15042,RAB3GAP1,Rab3 GTPase-activating protein catalytic subunit,5,11.31429,11.33482,-0.02053,0.985870460694021,Down,0.967567517447007,0.982989109312241
P62841,RPS15,Small ribosomal subunit protein uS19,4,15.17017,15.16149,0.00867999999999824,1.00603465312163,Up,0.967669412193288,0.982989109312241
Q4KMQ2,ANO6,Anoctamin-6,4,9.936337,9.921371,0.0149659999999994,1.01042763345394,Up,0.96861011225338,0.983542441806951
P50148,GNAQ,Guanine nucleotide-binding protein G(q) subunit alpha,2,11.338305,11.366345,-0.02804,0.980751811397468,Down,0.968626603391769,0.983542441806951
Q13751,LAMB3,Laminin subunit beta-3,3,12.920805,12.924225,-0.00342,0.997632244208858,Down,0.968660577049696,0.983542441806951
Q16875,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",8,13.052645,13.061435,-0.00879,0.993925759529387,Down,0.96902918520508,0.983555873218779
Q00169,PITPNA,Phosphatidylinositol transfer protein alpha isoform,3,10.223845,10.220175,0.00366999999999962,1.00254708848482,Up,0.969150061714098,0.983555873218779
P42568,MLLT3,Protein AF-9,2,10.411705,10.401105,0.0105999999999984,1.00737441819214,Up,0.969182528585816,0.983555873218779
Q13352,ITGB3BP,Centromere protein R,2,10.029797,9.9741015,0.0556955000000006,1.03936004124577,Up,0.96926908795187,0.983555873218779
Q8WWI1,LMO7,LIM domain only protein 7,56,15.92024,15.916715,0.00352499999999978,1.00244633120855,Up,0.969715547082211,0.983857852420376
Q9NP97,DYNLRB1,Dynein light chain roadblock-type 1,5,14.521425,14.52756,-0.006135,0.995756570943716,Down,0.970345891463206,0.9839698712099
O14907,TAX1BP3,Tax1-binding protein 3,3,13.53821,13.542365,-0.004155,0.997124116762638,Down,0.97034756195298,0.9839698712099
Q92833,JARID2,Protein Jumonji,11,12.52286,12.51354,0.00932000000000066,1.00648104338019,Up,0.970409944422135,0.9839698712099
Q9H3N1,TMX1,Thioredoxin-related transmembrane protein 1,6,13.211675,13.20712,0.00455499999999986,1.00316227488271,Up,0.970421488961436,0.9839698712099
P00325,ADH1B,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,2,12.349825,12.326395,0.0234299999999976,1.01637303117646,Up,0.970861719877162,0.984265241090376
Q9UHY7,ENOPH1,Enolase-phosphatase E1,3,10.54385,10.559165,-0.015315,0.989440597021264,Down,0.971265621919725,0.98452369559317
Q9Y3U8,RPL36,Large ribosomal subunit protein eL36,6,16.895655,16.89952,-0.003865,0.997324571502294,Down,0.971658872499864,0.984738778338389
Q9H1I8,ASCC2,Activating signal cointegrator 1 complex subunit 2,6,12.07504,12.08991,-0.01487,0.989745837536908,Down,0.971898251527566,0.984738778338389
Q9NYG5,ANAPC11,Anaphase-promoting complex subunit 11,2,12.02899,12.01622,0.0127699999999997,1.00889077976915,Up,0.971924807247891,0.984738778338389
Q8WUY1,THEM6,Protein THEM6,6,14.018465,14.01436,0.00410499999999914,1.00284942108122,Up,0.972162699184019,0.984828828771794
P07477,PRSS1,Serine protease 1,1,12.42786,12.3815,0.0463600000000017,1.03265618511622,Up,0.972548947168285,0.985069117522635
Q5T750,KPLCE,Protein KPLCE,1,10.692435,10.66482,0.0276150000000008,1.01932562776554,Up,0.973026498867544,0.985253827566474
Q8NB90,AFG2A,ATPase family gene 2 protein homolog A,9,12.849,12.843585,0.00541499999999928,1.00376044477963,Up,0.973269141982957,0.985253827566474
Q8WXR4,MYO3B,Myosin-IIIb,1,14.01335,14.019175,-0.005825,0.995970557749665,Down,0.973390543203094,0.985253827566474
Q9Y5Y5,PEX16,Peroxisomal membrane protein PEX16,6,11.68524,11.69917,-0.01393,0.99039092483465,Down,0.973482578349257,0.985253827566474
P27987,ITPKB,Inositol-trisphosphate 3-kinase B,2,11.66403,11.63264,0.03139,1.02199631898365,Up,0.973705285831846,0.985253827566474
Q0VDI3,TMEM267,Transmembrane protein 267,1,9.4222925,9.4392845,-0.016992,0.98829113173523,Down,0.97376704980386,0.985253827566474
O60256,PRPSAP2,Phosphoribosyl pyrophosphate synthase-associated protein 2,10,15.685995,15.68141,0.00458500000000051,1.00318313527267,Up,0.973774852725709,0.985253827566474
Q9UK99,FBXO3,F-box only protein 3,2,9.987159,9.960979,0.0261800000000001,1.01831224308592,Up,0.974185104049215,0.985518039593029
P10909,CLU,Clusterin,5,12.3217,12.317945,0.00375499999999995,1.00260615780337,Up,0.974423525836588,0.98560836887879
Q8NDF8,TENT4B,Terminal nucleotidyltransferase 4B,13,13.742775,13.745635,-0.00286,0.998019562722534,Down,0.974627357965272,0.985663689180181
P13994,YJU2B,Probable splicing factor YJU2B,8,11.956285,11.946855,0.00943000000000005,1.00655778665057,Up,0.975411029079473,0.986305307709032
P02462,COL4A1,Collagen alpha-1(IV) chain,2,10.45632,10.469075,-0.012755,0.991197875245303,Down,0.976179383437224,0.986931244475541
P61916,NPC2,NPC intracellular cholesterol transporter 2,3,11.634085,11.626585,0.00750000000000028,1.00521214004148,Up,0.976892023556565,0.987500670493322
P48426,PIP4K2A,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha,9,13.8612,13.854965,0.00623500000000021,1.00433112499832,Up,0.979001053728765,0.989481260757518
Q8TAU3,ZNF417,Zinc finger protein 417,4,11.659355,11.64418,0.0151749999999993,1.01057402244586,Up,0.979876055623148,0.990214197494401
Q9BQA1,WDR77,Methylosome protein WDR77,7,14.111205,14.1087,0.00250500000000109,1.00173784198748,Up,0.980645012610131,0.990709582204662
Q8NB37,GATD1,Glutamine amidotransferase-like class 1 domain-containing protein 1,3,12.290775,12.284265,0.00650999999999868,1.0045225842994,Up,0.980779086874619,0.990709582204662
Q0VDF9,HSPA14,Heat shock 70 kDa protein 14,10,14.46919,14.472925,-0.003735,0.997414443604312,Down,0.980815977661538,0.990709582204662
P60520,GABARAPL2,Gamma-aminobutyric acid receptor-associated protein-like 2,4,13.015215,13.0108,0.00441499999999984,1.00306493213154,Up,0.981506089034364,0.991204494804437
Q9Y3C4,TPRKB,EKC/KEOPS complex subunit TPRKB,3,10.700425,10.69372,0.00670500000000018,1.00465836846518,Up,0.981605903842494,0.991204494804437
Q9P0L2,MARK1,Serine/threonine-protein kinase MARK1,4,11.47045,11.46302,0.00742999999999938,1.00516336802745,Up,0.982073925758753,0.991467732287477
Q96BH1,RNF25,E3 ubiquitin-protein ligase RNF25,3,10.998815,11.007345,-0.00853,0.994104899248882,Down,0.9822497866733,0.991467732287477
Q12968,NFATC3,"Nuclear factor of activated T-cells, cytoplasmic 3",7,14.47816,14.48396,-0.0058,0.995987816753805,Down,0.982478934185166,0.991467732287477
P61604,HSPE1,"10 kDa heat shock protein, mitochondrial",5,17.68221,17.679045,0.0031649999999992,1.00219621899014,Up,0.982483904388628,0.991467732287477
Q5VW36,FOCAD,Focadhesin,6,11.233615,11.22005,0.0135649999999998,1.00944688426692,Up,0.982616681265391,0.991467732287477
Q86WR0,CCDC25,Coiled-coil domain-containing protein 25,6,15.524235,15.532115,-0.00788,0.99455288981667,Down,0.983086165433104,0.991726334403377
Q15072,ZNF146,Zinc finger protein OZF,6,14.98158,14.9787,0.0028800000000011,1.00199825774129,Up,0.983173088668622,0.991726334403377
Q9H4A5,GOLPH3L,Golgi phosphoprotein 3-like,1,12.60279,12.59518,0.00760999999999967,1.00528878655912,Up,0.983869760931316,0.992277620936222
O75911,DHRS3,Short-chain dehydrogenase/reductase 3,4,11.701425,11.699235,0.00219000000000058,1.00151914505898,Up,0.984654116454111,0.992892385035944
P30153,PPP2R1A,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,22,15.96171,15.96229,-0.00058,0.999598055436644,Down,0.984849964327104,0.992892385035944
Q96IW7,SEC22A,Vesicle-trafficking protein SEC22a,1,11.21563,11.20657,0.00906000000000162,1.00629967345442,Up,0.985340456131266,0.992892385035944
Q08945,SSRP1,FACT complex subunit SSRP1,25,16.58279,16.58373,-0.00094,0.999348653868322,Down,0.985363479095722,0.992892385035944
Q9H6P5,TASP1,Threonine aspartase 1,2,10.4709235,10.4573395,0.0135840000000016,1.00946017856444,Up,0.985366570377466,0.992892385035944
Q96HH9,GRAMD2B,GRAM domain-containing protein 2B,3,10.816895,10.813175,0.00372000000000128,1.00258183472131,Up,0.985380716212855,0.992892385035944
P27695,APEX1,DNA repair nuclease/redox regulator APEX1,17,16.7932,16.795265,-0.002065,0.998569674963446,Down,0.986074287155507,0.993439781068712
Q96C01,FAM136A,Protein FAM136A,5,12.96379,12.95916,0.0046299999999988,1.00321442667096,Up,0.98646047502038,0.993600891264336
P42025,ACTR1B,Beta-centractin,3,12.58329,12.577635,0.00565499999999908,1.00392743956282,Up,0.986541864083604,0.993600891264336
Q9P0T7,TMEM9,Proton-transporting V-type ATPase complex assembly regulator TMEM9,1,11.503505,11.50836,-0.004855,0.996640426476982,Down,0.986685224597948,0.993600891264336
Q9BUR4,WRAP53,Telomerase Cajal body protein 1,3,12.84255,12.84035,0.00219999999999843,1.00152608708476,Up,0.987392825026462,0.994161971450318
P57678,GEMIN4,Gem-associated protein 4,30,15.9446,15.94366,0.000939999999999941,1.00065177065998,Up,0.987918658689951,0.994539895701734
Q9NPC7,MYNN,Myoneurin,6,13.314285,13.317925,-0.00364,0.997480124492694,Down,0.988339534359406,0.994812059485428
Q9NVS2,MRPS18A,Large ribosomal subunit protein mL66,3,10.277615,10.279495,-0.00188,0.998697731988427,Down,0.988661180464065,0.994984276181971
O76024,WFS1,Wolframin,6,11.770675,11.772645,-0.00197,0.998635431925143,Down,0.989082806728541,0.995257044712078
Q8IV76,PASD1,Circadian clock protein PASD1,11,12.660155,12.664395,-0.00424,0.997065370422782,Down,0.989299325340594,0.995323373599632
P24390,KDELR1,ER lumen protein-retaining receptor 1,1,11.246145,11.252155,-0.00601,0.995842850413895,Down,0.989530860680993,0.995330955762772
P39656,DDOST,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,11,16.192475,16.191765,0.000710000000001543,1.00049225561625,Up,0.989608066321255,0.995330955762772
O75477,ERLIN1,Erlin-1,3,15.37058,15.36742,0.00316000000000116,1.00219274564874,Up,0.989801875987701,0.995374406330298
Q9Y679,AUP1,Lipid droplet-regulating VLDL assembly factor AUP1,6,11.96507,11.960195,0.00487500000000018,1.00338480807431,Up,0.990508194974407,0.995858002028134
Q08AD1,CAMSAP2,Calmodulin-regulated spectrin-associated protein 2,6,11.139525,11.142715,-0.00319,0.997791303262206,Down,0.990584128511568,0.995858002028134
Q8IZ83,ALDH16A1,Aldehyde dehydrogenase family 16 member A1,16,15.00705,15.006715,0.000334999999999752,1.00023223126699,Up,0.991099584062247,0.996027854042945
Q15797,SMAD1,Mothers against decapentaplegic homolog 1,2,10.77097,10.7644,0.00656999999999996,1.00456436208796,Up,0.991335225512875,0.996027854042945
Q14320,FAM50A,Protein FAM50A,10,14.240225,14.239445,0.000779999999998893,1.00054080098099,Up,0.991337965520427,0.996027854042945
Q8N954,GPATCH11,G patch domain-containing protein 11,6,12.74166,12.74475,-0.00309,0.997860467282085,Down,0.99135591222492,0.996027854042945
O75665,OFD1,Centriole and centriolar satellite protein OFD1,2,12.376,12.38176,-0.00576,0.996015431782511,Down,0.991955429003544,0.996478709573556
Q96K62,ZBTB45,Zinc finger and BTB domain-containing protein 45,5,12.28771,12.286145,0.00156499999999937,1.00108536391915,Up,0.992309787939028,0.996546238350699
P37235,HPCAL1,Hippocalcin-like protein 1,7,13.11336,13.11093,0.00243000000000038,1.00168576695902,Up,0.992324223723097,0.996546238350699
Q9Y496,KIF3A,Kinesin-like protein KIF3A,4,12.50454,12.495605,0.00893499999999925,1.00621248800881,Up,0.992502221833932,0.996566968660086
