Accession,Gene Name,Description,Unique peptides,Average(ADCY7),Average(NC),log2FoldChange,FoldChange,Regulation,p-value,q-value
O00468,AGRN,Agrin,10,13.862765,13.474985,0.387779999999999,1.30837853848486,Up,0.148428426443664,0.446690387573415
P09110,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",10,14.261845,13.869265,0.392580000000002,1.31273890285707,Up,0.148665607904997,0.446690387573415
P22736,NR4A1,Nuclear receptor subfamily 4immunitygroup A member 1,4,11.8744,12.13315,-0.25875,0.835811781518528,Down,0.148694453393749,0.446690387573415
Q9ULJ3,ZBTB21,Zinc finger and BTB domain-containing protein 21,20,13.89972,13.80565,0.0940699999999985,1.06737712624475,Up,0.148696115951793,0.446690387573415
O75689,ADAP1,Arf-GAP with dual PH domain-containing protein 1,2,10.18309,10.824245,-0.641155,0.641199408618196,Down,0.148730534995835,0.446690387573415
Q8WUA4,GTF3C2,General transcription factor 3C polypeptide 2,21,15.97219,15.839385,0.132804999999999,1.09642338193074,Up,0.148849167146898,0.446690387573415
P63208,SKP1,S-phase kinase-associated protein 1,10,15.70407,15.531785,0.172285000000002,1.12684181067018,Up,0.148861549327188,0.446690387573415
Q9Y3C7,MED31,Mediator of RNA polymerase II transcription subunit 31,3,13.85486,13.536615,0.318244999999999,1.24681291138686,Up,0.148967623716607,0.446690387573415
P55769,SNU13,NHP2-like protein 1,7,17.24346,16.97925,0.264209999999999,1.20097823024426,Up,0.149076188645814,0.446690387573415
P19823,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,2,9.518904,10.227597,-0.708693,0.611874211210903,Down,0.149134254298561,0.446690387573415
P49917,LIG4,DNA ligase 4,12,12.143655,11.85429,0.289364999999998,1.22210225287121,Up,0.149188853987394,0.446690387573415
Q9HCU9,BRMS1,Breast cancer metastasis-suppressor 1,8,13.623705,13.727695,-0.10399,0.930456107110936,Down,0.149226796510238,0.446690387573415
Q14571,ITPR2,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR2",24,13.80466,13.985155,-0.180495,0.882400185910825,Down,0.149248719196475,0.446690387573415
Q8TDM6,DLG5,Disks large homolog 5,23,13.20366,13.52876,-0.3251,0.798243054446755,Down,0.149279335432862,0.446690387573415
Q6P0N0,MIS18BP1,Mis18-binding protein 1,14,13.338615,13.23124,0.107375000000001,1.07726635385511,Up,0.149439144973335,0.446690387573415
Q96E14,RMI2,RecQ-mediated genome instability protein 2,5,13.46614,13.28681,0.17933,1.13235788641289,Up,0.149512980722313,0.446690387573415
O15534,PER1,Period circadian protein homolog 1,1,10.310908,8.7314305,1.5794775,2.98861591600417,Up,0.149605913369318,0.446690387573415
